Track name,Artist name,Album,Playlist name,Type,ISRC
"LucasGitanoFamily - Playing God but Flamenco","","","Liked videos","Favorite",""
"Tabernis - Alveus Umbrae (Mit Dans Is All Die Werlt Genesen - Corvus Corax)","","","Liked videos","Favorite",""
"Unprocessed - Die on the Cross of the Martyr ft. Tim Henson & Scott LePage of Polyphia","","","Liked videos","Favorite",""
"""Awakening"" on Ichika Nito Signature Guitar - Ibanez ICHI10","","","Liked videos","Favorite",""
"Kurt Cobain - Reverb Experiment","","","Liked videos","Favorite",""
"SLEEPTALKER - Deathbed","","","Liked videos","Favorite",""
"LINKIN PARK— One More Light [OFFICIAL Acapella]","","","Liked videos","Favorite",""
"Wolves At The Gate · Chester C Bennington · Robert G Bourdon · Brad Delson · David Farrell · Joseph Hahn · Mike Shinoda - Breaking The Habit","","","Liked videos","Favorite",""
"Kanii - I Know (Official Music Video)","","","Liked videos","Favorite",""
"Deathpact - GATEKEEPER (Official Audio)","","","Liked videos","Favorite",""
"ATLiens & YOOKiE - SOUL ON FIRE (feat. Cara Kay)","","","Liked videos","Favorite",""
"Zeds Dead x Chee - Tomb of the Scorpion","","","Liked videos","Favorite",""
"ATLiens - BLACK SHEEP (feat. GG MAGREE) [Official Music Video]","","","Liked videos","Favorite",""
"Apashe - Catch Me (Official Video)","","","Liked videos","Favorite",""
"Seether - Words as Weapons (Slowed and Reverb){Vocals Only}","","","Liked videos","Favorite",""
"Linkin Park - With You (Chester Acapella)","","","Liked videos","Favorite",""
"Subtronics x Alison Wonderland - No One Does It Like","","","Liked videos","Favorite",""
"Jedi Mind Tricks · Killah Priest · Vincent Luviner · Kevin Baldwin - Saviorself","","","Liked videos","Favorite",""
"Killah Priest - B.C.","","","Liked videos","Favorite",""
"Killah Priest - Demiurge","","","Liked videos","Favorite",""
"Killah Priest - Eye Am","","","Liked videos","Favorite",""
"Fred again.. & Angie McMahon - light dark light","","","Liked videos","Favorite",""
"Manuel Gardner Fernandes - Rio de Janeiro","","","Liked videos","Favorite",""
"Polyphia - Crosty","","","Liked videos","Favorite",""
"Polyphia · Brasstracks - Genesis (feat. Brasstracks)","","","Liked videos","Favorite",""
"Ichika Nito · Luke Holland - Moonfall","","","Liked videos","Favorite",""
"Rezz · Blanke - Everywhere, Nowhere","","","Liked videos","Favorite",""
"Playing god Bass and Drums only - Polyphia","","","Liked videos","Favorite",""
"Polyphia - Playing God","","","Liked videos","Favorite",""
"Polyphia - Nightmare","","","Liked videos","Favorite",""
"Ichika Nito - Ethereal Feel","","","Liked videos","Favorite",""
"Ichika Nito - Homesick","","","Liked videos","Favorite",""
"Gabeflow - Room 507","","","Liked videos","Favorite",""
"Ichika Nito - Orb","","","Liked videos","Favorite",""
"Kurt Cobain - Sappy (Early Demo)","","","Liked videos","Favorite",""
"Kurt Cobain - And I Love Her","","","Liked videos","Favorite",""
"Maneskin - I Wanna Be Your Slave (BASS BACKING TRACK)","","","Liked videos","Favorite",""
"Two Door Cinema Club - What You Know (Bass Backing Track w/ vocals)","","","Liked videos","Favorite",""
"Dutch Interior - Sandcastle Molds (Official Music Video)","","","Liked videos","Favorite",""
"Bob Dylan - Subterranean Homesick Blues (ISOLATED VOCALS)","","","Liked videos","Favorite",""
"Masters of War - Bob Dylan | Only Vocals (Isolated Acapella)","","","Liked videos","Favorite",""
"Sample Rippers - Kick The Nation 2007 (Club Mix)","","","Liked videos","Favorite",""
"Sequentia · Hildegard von Bingen · Barbara Thornton · Benjamin Bagby - Spiritui sancto (responsory, fol. 471v)","","","Liked videos","Favorite",""
"Emily Van Evera · Christopher Page · Gothic Voices · Hildegard von Bingen - O Euchari in leta via, BN 53","","","Liked videos","Favorite",""
"Hildegard von Bingen · Tiziana Fumagalli - In Evangelium (Antifona)","","","Liked videos","Favorite",""
"Beck - Where It's At (Official Music Video)","","","Liked videos","Favorite",""
"Beck - E-Pro","","","Liked videos","Favorite",""
"Beck - Everybody's Gotta Learn Sometime","","","Liked videos","Favorite",""
"Orville Peck & Beck - Death Valley High (Official Music Video)","","","Liked videos","Favorite",""
"Skepta · WizKid - Energy (Stay Far Away)","","","Liked videos","Favorite",""
"Loco Dice · Skrillex · Fireboy DML - Heavy Heart","","","Liked videos","Favorite",""
"Dillon Francis · Alison Wonderland - Lost My Mind (NGHTMRE Remix)","","","Liked videos","Favorite",""
"Zeds Dead - Sweet Memories","","","Liked videos","Favorite",""
"Linkin Park - Papercut (Official Acapella)","","","Liked videos","Favorite",""
"Killah Priest - Manuka Honey","","","Liked videos","Favorite",""
"Ancient Melody | Oud","","","Liked videos","Favorite",""
"Debussy, First Arabesque, Piano Solo (animation ver. 2)","","","Liked videos","Favorite",""
"Daniel Chorzempa - J.S. Bach: Fantasia in G major, BWV 572","","","Liked videos","Favorite",""
"La Suave Melodia - Andrea Falconieri (from CD ""Il Spiritillo Brando"")","","","Liked videos","Favorite",""
"Chiara Massini - J. C. F. Fischer: Passacaglia in d-moll","","","Liked videos","Favorite",""
"Johann Joachim Quantz,Flute Concerto","","","Liked videos","Favorite",""
"Zanox Reas - Swan Lake: Tchaikovsky's Timeless","","","Liked videos","Favorite",""
"Leonard Bernstein · New York Philharmonic Orchestra · Samuel Barber - Adagio for Strings, Op. 11","","","Liked videos","Favorite",""
"Chopin - Prelude in E minor (Orchestra)","","","Liked videos","Favorite",""
"The Strokes - Hard To Explain (Official HD Video)","","","Liked videos","Favorite",""
"The Strokes - Reptilia (Official HD Video)","","","Liked videos","Favorite",""
"War Of The Worlds (The Eve Of The War) - Jeff Wayne","","","Liked videos","Favorite",""
"Screaming Lord Sutch - Dracula's Daughter","","","Liked videos","Favorite",""
"the x files theme song (full version)","","","Liked videos","Favorite",""
"Sheb Wooley - Purple People Eater (1958)","","","Liked videos","Favorite",""
"Slipknot - Duality no bass, no guitar","","","Liked videos","Favorite",""
"Michael Jackson - Jam (Immortal Version)","","","Liked videos","Favorite",""
"Samuel Kim - Lacrimosa - Epic Version (Mozart)","","","Liked videos","Favorite",""
"Alice DJ - Better Off Alone (Lyrics)","","","Liked videos","Favorite",""
"Bassnectar · Zion I - Funk For The Future feat. Zion I (WCLF Remix)","","","Liked videos","Favorite",""
"RL Grime & Juelz - Formula","","","Liked videos","Favorite",""
"Apashe · Vladimir Cauchemar - RIP","","","Liked videos","Favorite",""
"skypierr - Betrayal","","","Liked videos","Favorite",""
"hyperforms · vowl. - OSIRIS","","","Liked videos","Favorite",""
"Alasen - Antidigital","","","Liked videos","Favorite",""
"AENEAS - HOLY","","","Liked videos","Favorite",""
"BLVCK - THE DAMNED","","","Liked videos","Favorite",""
"YABØII - Somnium.","","","Liked videos","Favorite",""
"HANZO 陰陽 - CULT","","","Liked videos","Favorite",""
"Deathpact - 0506+056","","","Liked videos","Favorite",""
"Killah Priest - Lord","","","Liked videos","Favorite",""
"LCD Soundsystem - Dance Yrself Clean","","","Liked videos","Favorite",""
"Jamie Jones · Jazzy - We Groovin","","","Liked videos","Favorite",""
"Fred again.. · The Japanese House · Scott Hardkiss - backseat","","","Liked videos","Favorite",""
"Headie One · Fred again.. - Told","","","Liked videos","Favorite",""
"Fred again.. - Faisal (London Bridge Station)","","","Liked videos","Favorite",""
"Fred again.. - Marco (and everyone)","","","Liked videos","Favorite",""
"Fred again.. · Henry Wu - Homies (feat. Henry Wu)","","","Liked videos","Favorite",""
"Fred again.. · Brian Eno - Cmon","","","Liked videos","Favorite",""
"Fred again.. - Tanya (maybe life)","","","Liked videos","Favorite",""
"Romy · Fred again.. - Strong","","","Liked videos","Favorite",""
"Fred again.. - Kammy (like i do)","","","Liked videos","Favorite",""
"Skrillex & Bobby Raps - Don't Leave Me Like This (Full Acapella)","","","Liked videos","Favorite",""
"Fred again.. & Lil Yachty & Overmono - stayinit (Knockdown Center, 8th February 2024)","","","Liked videos","Favorite",""
"Lil Uzi Vert - Just Wanna Rock Acapella (Vocals Only)","","","Liked videos","Favorite",""
"ZEDS DEAD - CHANNEL FLIPPING","","","Liked videos","Favorite",""
"Fred again.. - Adore U (Studio Acapella) | [A_o]","","","Liked videos","Favorite",""
"Fred again.. - Bleu (better with time)","","","Liked videos","Favorite",""
"Fred again.. · Duskus · Four Tet · Joy Anonymous · Skrillex - glow","","","Liked videos","Favorite",""
"Fred again.. - Hannah (the sun)","","","Liked videos","Favorite",""
"Fred again.. - Danielle (smile on my face)","","","Liked videos","Favorite",""
"Fred again.. - Danielle (smile on my face) [Live from Boiler Room]","","","Liked videos","Favorite",""
"Headie One · Fred again.. - Know Me","","","Liked videos","Favorite",""
"Headie One x Fred again.. - Charades","","","Liked videos","Favorite",""
"Fred again.. - Carlos (make it thru)","","","Liked videos","Favorite",""
"Fred again.. - Sabrina (i am a party)","","","Liked videos","Favorite",""
"Fred again.. - Me (heavy)","","","Liked videos","Favorite",""
"Xavlegbmaofffassssitimiwoamndutroabcwapwaeiippohfffx - Pneumonoultramicroscopicsilicovolcanoconiosis","","","Liked videos","Favorite",""
"Timex Social Club   Rumors Main Vocal","","","Liked videos","Favorite",""
"Mumford and Sons - Little Lion Man","","","Liked videos","Favorite",""
"Bass Entity - Underwater Rave (Halloween VIP)","","","Liked videos","Favorite",""
"Timex Social Club - Rumors (STUDIO ACAPELLA)","","","Liked videos","Favorite",""
"Club Nouveau - Rumors","","","Liked videos","Favorite",""
"deadmau5 feat. Rob Swire — Ghosts 'n' Stuff (Full Acapella)","","","Liked videos","Favorite",""
"REZZ & X1-Y2 - SUBSEQUENT (Audio)","","","Liked videos","Favorite",""
"SAINt JHN - Circles (Acapella)","","","Liked videos","Favorite",""
"Fred again & Skrillex & Four Tet - Baby Again (Nawar Remix)","","","Liked videos","Favorite",""
"Native American peace song (Ya he  ya he)","","","Liked videos","Favorite",""
"some indians know the name Yahweh","","","Liked videos","Favorite",""
"Chant to YAH-U-WAH","","","Liked videos","Favorite",""
"Oldest Native American drumming video ever","","","Liked videos","Favorite",""
"Cherokee Morning Song: ""I am of the Great Spirit""","","","Liked videos","Favorite",""
"WAR SONG.","","","Liked videos","Favorite",""
"Fred again.. - Danielle (smile on my face)","","","Liked videos","Favorite",""
"Fred again.. - Hannah (The Sun) (28 September 2021)","","","Liked videos","Favorite",""
"Blinded Hearts · Besomage · Rokusho · Grace MartineTandon · JacobKasher · MichaelPollack · Oscar MichaelGorres - Insomnia","","","Liked videos","Favorite",""
"Throwaway · Throwaway - GOING INSANE","","","Liked videos","Favorite",""
"Nirvana - Smells Like Teen Spirit (ATLiens Remix) [Official Music Video]","","","Liked videos","Favorite",""
"Live Acoustic Quarantine - ""Where We're Going/First Person"" Medley","","","Liked videos","Favorite",""
"Mozarteum Orchestra · Mozarteum Choir · Ernst Hinreiner · Gerda Hartmann · Richard Brunner · Rudolf Knoll · Carl Orff - Fortuna Imperatrix Mundi: O Fortuna - Fortune Plango Vulnera","","","Liked videos","Favorite",""
"Classical Hits · Schola Camerata · Carl Orff - O Fortuna (Carmina Burana)","","","Liked videos","Favorite",""
"Swedish House Mafia · Future · Fred again.. - Turn On The Lights again.. (Live from Antwerp)","","","Liked videos","Favorite",""
"Swedish House Mafia - Ray Of Solar (B Side Edit)","","","Liked videos","Favorite",""
"Swedish House Mafia - Ray Of Solar","","","Liked videos","Favorite",""
"Gotye · FISHER · Chris Lake · Kimbra · Sante Sansone - Somebody (2024)","","","Liked videos","Favorite",""
"Imogen Heap - Headlock","","","Liked videos","Favorite",""
"Clams Casino · Imogen Heap - I'm God","","","Liked videos","Favorite",""
"Imogen Heap - What Have You Done To Me?","","","Liked videos","Favorite",""
"Skrillex, Fred Again.., & Four Tet - Human Voice","","","Liked videos","Favorite",""
"Top 10 metal moments in classical music","","","Liked videos","Favorite",""
"Jim James - State of the Art (LOWLIIFE Remix)","","","Liked videos","Favorite",""
"Sister Crayon · Chrome Sparks · The Glitch Mob - Beauty of the Unhidden Heart (Chrome Sparks Remix)","","","Liked videos","Favorite",""
"Fred again.. x Skrillex - Baby again.. (Marco Strous Edit)","","","Liked videos","Favorite",""
"JOYRYDE - 4AM","","","Liked videos","Favorite",""
"Worriors - Vocals Only","","","Liked videos","Favorite",""
"Subtronics - They Call Me","","","Liked videos","Favorite",""
"AHEE - Dungeon Master","","","Liked videos","Favorite",""
"Subtronics - Flute Dub (A Hundred Drums Remix)","","","Liked videos","Favorite",""
"Subtronics - Gyroscope","","","Liked videos","Favorite",""
"Subtronics - Tuba Demon (HOL! Remix)","","","Liked videos","Favorite",""
"Monxx - SCREWFACE","","","Liked videos","Favorite",""
"Subtronics - Particle Meme Weapon","","","Liked videos","Favorite",""
"Excision · Sullivan King - Bass To The Dome","","","Liked videos","Favorite",""
"I said I would & I did! (backwards Bach BWV 938)","","","Liked videos","Favorite",""
"3 hours of Cello music by Bach... played backwards","","","Liked videos","Favorite",""
"JS Bach - Contrapunctus I Played Backwards","","","Liked videos","Favorite",""
"Angels & Airwaves - Restless Souls","","","Liked videos","Favorite",""
"The Beach Boys-Add Some Music To Your Day (Vocals)","","","Liked videos","Favorite",""
"The Beach Boys - Heroes And Villains (2024 Acapella Mix)","","","Liked videos","Favorite",""
"The Beach Boys Vega-Tables Demo a capella.(Vocals Only)","","","Liked videos","Favorite",""
"The Beach Boys - That's Not Me (Vocals Only)","","","Liked videos","Favorite",""
"In My Room Beach Boys Stereo VOCAL ISOLATION HiQ JARichardsFilm","","","Liked videos","Favorite",""
"The Beach Boys - I Get Around (A Cappella)","","","Liked videos","Favorite",""
"ATLiens - BLACK SHEEP (feat. GG Magree)","","","Liked videos","Favorite",""
"Fred again.. · Nathan Archie - Nathan (varner road)","","","Liked videos","Favorite",""
"New Order - Bizarre Love Triangle","","","Liked videos","Favorite",""
"Michael Jackson Acapella off the wall","","","Liked videos","Favorite",""
"Michael Jackson - Scream (Official Studio Acapella & Hidden Vocals/Instrumentals)","","","Liked videos","Favorite",""
"Michael Jackson - D.S.","","","Liked videos","Favorite",""
"D.S. Michael Jackson (ACAPELLA)","","","Liked videos","Favorite",""
"Michael Jackson - Man In The Mirror [Mastered Acapella]","","","Liked videos","Favorite",""
"Michael Jackson - Earth Song (Acapella)","","","Liked videos","Favorite",""
"Michael Jackson - Chicago (Acapella)","","","Liked videos","Favorite",""
"Michael Jackson - Leave me alone (Acapella)","","","Liked videos","Favorite",""
"Michael Jackson - Threatened (Studio Acapella) (New Leak)","","","Liked videos","Favorite",""
"HOL! - COUNTRY RIDDIM VIP","","","Liked videos","Favorite",""
"Fred again.. · I. JORDAN - Admit It (u dont want 2)","","","Liked videos","Favorite",""
"Fred again.. - Kelly (end of a nightmare)","","","Liked videos","Favorite",""
"Fred again.. · Anderson .Paak · CHIKA - places to be","","","Liked videos","Favorite",""
"Michael Jackson - Behind the Mask HD Acapella","","","Liked videos","Favorite",""
"Michael Jackson - History (Acapella) HD","","","Liked videos","Favorite",""
"My Chemical Romance - Heaven Help Us (Vocals Only)","","","Liked videos","Favorite",""
"Flobots - Handlebars","","","Liked videos","Favorite",""
"nimino - I Only Smoke When I Drink","","","Liked videos","Favorite",""
"Naughty By Nature - Yoke the Joker","","","Liked videos","Favorite",""
"Subtronics - Omnidirectional","","","Liked videos","Favorite",""
"Subtronics x Wooli - Hallelujah","","","Liked videos","Favorite",""
"Ganja White Night · Subtronics - Womp Portal","","","Liked videos","Favorite",""
"Subtronics - String Theory (Original Mix)","","","Liked videos","Favorite",""
"Subtronics · Cristina Soto - Open Your Mind (Anthology 999)","","","Liked videos","Favorite",""
"Subtronics · Virus Syndicate - Lullaby","","","Liked videos","Favorite",""
"Naux Faux - Psyopia (Bassnectar Remix)","","","Liked videos","Favorite",""
"Bassnectar - Voodoo","","","Liked videos","Favorite",""
"ATLiens & Dion Timmer - IMY [Official Music Video]","","","Liked videos","Favorite",""
"ATLiens - Black Sheep (feat. GG Magree) [Monstercat Release]","","","Liked videos","Favorite",""
"Peekaboo - Nut Case","","","Liked videos","Favorite",""
"Subtronics - Tresspasser","","","Liked videos","Favorite",""
"Rezz · PEEKABOO - Vortex","","","Liked videos","Favorite",""
"Peekaboo - Secrecy","","","Liked videos","Favorite",""
"PEEKABOO - Maniac","","","Liked videos","Favorite",""
"PEEKABOO · LYNY - Like That","","","Liked videos","Favorite",""
"Bassnectar · PEEKABOO · Born I - Illusion (feat. Born I)","","","Liked videos","Favorite",""
"PEEKABOO · LYNY - Like That (Tape B Remix)","","","Liked videos","Favorite",""
"studying like a scholar in the baroque period (playlist)","","","Liked videos","Favorite",""
"The song that got me into Baroque music 🎶","","","Liked videos","Favorite",""
"The Saddest 400 Year Old Song I've Ever Heard...","","","Liked videos","Favorite",""
"Sam Tompkins - talking to the moon","","","Liked videos","Favorite",""
"Hollywood Undead - Another Way Out","","","Liked videos","Favorite",""
"Michael Jackson - Is It Scary (Improved Acapella)","","","Liked videos","Favorite",""
"Adam Lambert - Ghost Town","","","Liked videos","Favorite",""
"Adam Lambert - Ghost Town (Blood Diamonds Remix)","","","Liked videos","Favorite",""
"Warren Zevon - My Shits Fucked Up","","","Liked videos","Favorite",""
"Sons Of Kemet - My Queen Is Anna Julia Cooper","","","Liked videos","Favorite",""
"Sons Of Kemet - Throughout The Madness, Stay Strong","","","Liked videos","Favorite",""
"Kendrick Lamar - Watch the Party Die (HQ Acapella) 82.6 BPM","","","Liked videos","Favorite",""
"Subtronics - FUNcKED","","","Liked videos","Favorite",""
"Subtronics - Hieroglyph","","","Liked videos","Favorite",""
"Subtronics - Omnidirectional","","","Liked videos","Favorite",""
"Atmosphere · Zeds Dead · Subtronics - GodLovesUgly (Remix)","","","Liked videos","Favorite",""
"Subtronics - Hieroglyph VIP","","","Liked videos","Favorite",""
"Subtronics · Level Up · Grabbitz - Power","","","Liked videos","Favorite",""
"PEEKABOO - Dope (Phrva Remix)","","","Liked videos","Favorite",""
"REZZ · Isabelle Rezazadeh - Dark Age","","","Liked videos","Favorite",""
"Kamasi Washington - Cherokee","","","Liked videos","Favorite",""
"Tsuki - I Want Your Love (VIP)","","","Liked videos","Favorite",""
"Yves LaRock - Rise Up (Tantron Remix)","","","Liked videos","Favorite",""
"Kodak Black Ft. Travis Scott & Offset - Zeze  (Skyfull Bootleg)","","","Liked videos","Favorite",""
"Florence + The Machine - You've Got the Love (Bass Entity Remix)","","","Liked videos","Favorite",""
"The Fugees - Ooh La La La (Jago Bootleg)","","","Liked videos","Favorite",""
"Vanic X Zella Day - Wonderwall (Bass Entity Bootleg)","","","Liked videos","Favorite",""
"BASS ENTITY - Blinded","","","Liked videos","Favorite",""
